,,,,,,,,,,,,,,,,,
企業名,中業界(メイン),中業界(サブ),本社所在地_都道府県,本社所在地,従業員数（範囲）,資本金（範囲）,売上（範囲）,企業HP,問い合わせフォーム,代表電話番号,代表メールアドレス,,,送信可否,日付,送信不可理由,
株式会社ゴールドオンライン,Webアプリ・サービス運営,"デジタル系コンテンツ,広告制作,その他広告・制作,出版,総合広告代理店",東京都,東京都渋谷区千駄ヶ谷２丁目３０番１号,3: 20人以上~50人未満,"1: 5,000万円以上~3億円未満",3: 10億円以上~50億円未満,https://goldonline.co.jp/company/,https://goldonline.co.jp/contact/,,ggo_info@goldonline.co.jp,,,送信成功,2026/07/16,,
株式会社サン・ルート,Webアプリ・サービス運営,,福岡県,福岡県北九州市小倉北区馬借３丁目４番７号ＦＯＲＺＡ馬借１０５号室,3: 20人以上~50人未満,,2: 3億円以上~10億円未満,https://sunroot.co.jp/,https://sunroot.co.jp/contact/,,,,,送信不可,, お問い合わせフォーム無し,エラー: コンタクトフォームが見つかりません。
エボラニ株式会社,Webアプリ・サービス運営,"その他IT,eコマース",神奈川県,神奈川県横浜市西区南幸２丁目２０番５号ＫＤＸ横浜リバーサイド,3: 20人以上~50人未満,"0: 5,000万円未満",3: 10億円以上~50億円未満,https://evolany.com/,https://evolany.com/contact/,050-5236-6287,info@evolany.com,,,送信成功,2026/07/16,,
コアブレイン株式会社,Webアプリ・サービス運営,,神奈川県,神奈川県相模原市中央区南橋本３丁目１－１,3: 20人以上~50人未満,,2: 3億円以上~10億円未満,https://corebrain-inc.co.jp/,https://corebrain-inc.co.jp/contact,,,,,送信成功,2026/07/16,,
株式会社アモティ,Webアプリ・サービス運営,研究・調査・リサーチ,東京都,東京都江東区亀戸１丁目３６番４号古川ビル１Ｆ,3: 20人以上~50人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,http://www.amoty.co.jp,http://www.amoty.co.jp/contact.html,03-6228-7413,info@amoty.co.jp,,,送信不可,,別サイトに遷移してしまう・サイトが開けない,このサイトにアクセスできません
ＡＩＱ株式会社,クラウド系/SaaS/ASPサービス,"ITコンサル,その他広告・制作",東京都,東京都文京区後楽１丁目４－１４後楽森ビル８Ｆ,3: 20人以上~50人未満,,3: 10億円以上~50億円未満,https://www.aiqlab.com/about/,https://aiqlab.com/contact,,,,,送信成功,2026/07/16,,
株式会社銀河システムソリューション,Webアプリ・サービス運営,スマホアプリ,東京都,東京都台東区台東４丁目５番８号スペースヒロ３０１号室,3: 20人以上~50人未満,"0: 5,000万円未満",3: 10億円以上~50億円未満,https://www.ginga-ss.jp/company/,https://www.ginga-ss.jp/contacts/,03-6692-2704,,,,送信不可,,別サイトに遷移してしまう・サイトが開けない,会社が解散
株式会社テレマ,Webアプリ・サービス運営,ITインフラストラクチャー,千葉県,千葉県千葉市中央区新宿２丁目７番１０号,3: 20人以上~50人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://www.telema.co.jp/,https://www.telema.co.jp/contact.html,043-216-4176,info@telema.co.jp,,,送信成功,2026/07/16,,
株式会社シコメルフードテック,Webアプリ・サービス運営,,東京都,東京都渋谷区渋谷１丁目２番５号,3: 20人以上~50人未満,"1: 5,000万円以上~3億円未満",2: 3億円以上~10億円未満,https://corp.shikomel.com/,https://corp.shikomel.com/contact/coverage,,,,,送信成功,2026/07/16,,
株式会社ＥｄｕＬａｂ,Webアプリ・サービス運営,"通信教育,語学学習,研究・調査・リサーチ,Webアプリ・サービス運営",東京都,東京都品川区東品川２丁目３番１２号ＴｅｎｎｏｚｕＢａｙＴｏｗｅｒ１１階,3: 20人以上~50人未満,"1: 5,000万円以上~3億円未満",4: 50億円以上~300億円未満,http://edulab-inc.com,https://docs.google.com/forms/d/e/1FAIpQLSd8IT_5hnZjn-2z8CEsExZmkpD-RD4yOr7Z7L1428iD2AUyDg/viewform,03-6844-0228,contact@edulab-inc.com,,,送信成功,2026/07/16,,
株式会社ＭｉＬ,クラウド系/SaaS/ASPサービス,"日用品,その他医療・福祉",東京都,東京都港区南青山４丁目１３番９号クレセントヒルズ３Ｆ,3: 20人以上~50人未満,,3: 10億円以上~50億円未満,https://mil-inc.com/about/company/,https://mil-inc.com/contact,,support@mil-inc.com,,,送信成功,2026/07/16,,
ニプロ医療電子システムズ株式会社,医療機器,"医療機器商社,電子部品商社",山梨県,山梨県中央市中楯８０１番,3: 20人以上~50人未満,"0: 5,000万円未満",3: 10億円以上~50億円未満,https://nipro-amtes.co.jp/company/#profile,https://nipro-amtes.co.jp/contact,,,,,送信成功,2026/07/16,,
株式会社ＭａｇｉｃＰｏｄ,クラウド系/SaaS/ASPサービス,"その他IT,Webアプリ・サービス運営",東京都,東京都中央区日本橋箱崎町１番２号,3: 20人以上~50人未満,"1: 5,000万円以上~3億円未満",3: 10億円以上~50億円未満,https://magicpod.com/corporate/company/,https://www.trident-qa.com/contact/,050-7122-0338,support@magicpod.com,,,送信成功,2026/07/16,,
アイザック株式会社,Webアプリ・サービス運営,Webアプリ・サービス運営,東京都,東京都渋谷区恵比寿西１丁目１０番１１号フジワラビルディング２階,3: 20人以上~50人未満,,2: 3億円以上~10億円未満,https://aisaac.jp/,https://aisaac.jp/contact/,,contact@aisaac.jp,,,送信成功,2026/07/16,,
株式会社ｍｉｒａｉ計画,クラウド系/SaaS/ASPサービス,Webアプリ・サービス運営,愛知県,愛知県みよし市三好町弁財天３番１,3: 20人以上~50人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://mirai-log.com/company/,https://docs.google.com/forms/d/e/1FAIpQLSdVRzfbpwCoEvDxWAMGSa6uKAkkEX65miR2GXQfPdRQZEXiZA/viewform,0561-76-7032,,,,送信成功,2026/07/16,,
株式会社モノクロ,ゲーム開発,,兵庫県,兵庫県西宮市上甲子園１丁目３番１９号,3: 20人以上~50人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,http://monochrome-corp.com/index.html,https://monochrome-corp.com/contact-form.html,06-6809-3917,contact@monochrome-corp.com,,,送信成功,2026/07/16,,
株式会社安井ファシリティーズ,Webアプリ・サービス運営,"環境コンサル,不動産売買・仲介,コスト削減コンサル,その他コンサル,不動産管理,その他不動産,セミナー,その他建設・工事",東京都,東京都千代田区神田美土代町１番地,3: 20人以上~50人未満,"0: 5,000万円未満","5: 300億円以上~1,000億円未満",http://www.yasui-f.co.jp,http://www.yasui-f.co.jp/#contact,03-3261-5551,,,,送信成功,2026/07/16,,
株式会社ＳＴＹＺ,Webアプリ・サービス運営,,東京都,東京都渋谷区千駄ヶ谷３丁目５９番４号クエストコート原宿,3: 20人以上~50人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://styz.io/Company,http://goo.gl/forms/2QsYbXlyBg,03-6823-4304,contact@culumu.com,,,送信成功,2026/07/16,,
エーテンラボ株式会社,クラウド系/SaaS/ASPサービス,Webアプリ・サービス運営,東京都,東京都中央区日本橋小舟町８番１３号,3: 20人以上~50人未満,"1: 5,000万円以上~3億円未満",2: 3億円以上~10億円未満,https://a10lab.com/company/,https://a10lab.com/contact/,,contact@a10lab.com,,,送信成功,2026/07/16,,
エーバイスリーセキュアシステム株式会社,情報セキュリティ,"クラウド系/SaaS/ASPサービス,ITコンサル",東京都,東京都新宿区西新宿８丁目５番１号野村不動産西新宿共同ビル,3: 20人以上~50人未満,"1: 5,000万円以上~3億円未満",2: 3億円以上~10億円未満,https://aby3.co.jp/company/,https://aby3.co.jp/contact/,,info@aby3.co.jp,,,送信成功,2026/07/16,,
Ａｃａｌｌ株式会社,Webアプリ・サービス運営,,東京都,東京都港区六本木７丁目１５－７,3: 20人以上~50人未満,"1: 5,000万円以上~3億円未満",2: 3億円以上~10億円未満,https://www.acall.inc/about/details/,https://www.acall.inc/contact/,,,,,送信不可,,必須項目の入力ができない（情報不足など）,
アイディア株式会社,Webアプリ・サービス運営,"クラウド系/SaaS/ASPサービス,その他通信",東京都,東京都新宿区新宿４丁目１番６号ＪＲ新宿ミライナタワー２２階,3: 20人以上~50人未満,"1: 5,000万円以上~3億円未満",3: 10億円以上~50億円未満,https://aidea.biz/company/,http://aidea.biz/contact/,,info@aidea.biz,,,送信不可,,送信ボタンを押すことができない・エラー,
株式会社ホロラボ,Webアプリ・サービス運営,,東京都,東京都品川区西五反田８丁目３－６ＴＫ五反田ビル１Ｆ,3: 20人以上~50人未満,,2: 3億円以上~10億円未満,https://hololab.co.jp/,https://forms.office.com/Pages/ResponsePage.aspx?id=QMGXxOkNNk-WXDwEcVSc_2ZsZJYR1MhDkwsI2aEImnZUQldZRUNWTTA5UTU4RU5MN0dXVVNINFRURiQlQCN0PWcu,,info@hololab.co.jp,,,送信不可,,営業禁止の記載あり,本フォームでのお問い合わせ受付は終了させていただきました。 お手数をおかけしますが、下記よりお問い合わせください。(株式会社ホロラボ) https://hololab.co.jp/#contact
株式会社大都テクノロジーズ,Webアプリ・サービス運営,その他人材,東京都,東京都千代田区二番町１２番地３,3: 20人以上~50人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://www.daitotech.co.jp/company/,https://www.daitotech.co.jp/contact/,,toiawase@daitotech.co.jp,,,送信成功,2026/07/16,,
株式会社ＣＭｅｒＴＶ,Webアプリ・サービス運営,"看板広告,Webマーケコンサル,広告制作,動画制作・CG制作,経営コンサル,CM制作・映像制作",東京都,東京都千代田区丸の内３丁目３番１号新東京ビル４Ｆ,3: 20人以上~50人未満,2: 3億円以上~10億円未満,3: 10億円以上~50億円未満,https://www.cmertv.co.jp/about/company,https://www.cmertv.co.jp/contact,03-6263-9905,,,,送信成功,2026/07/16,,
株式会社ｍｉｒａｉｉ,Webアプリ・サービス運営,"イベント,IT系教育,Webマーケコンサル",東京都,東京都中央区八丁堀３丁目４－１２ＥｍｕｔｅＫｙｏｂａｓｈｉ１０１号,3: 20人以上~50人未満,,2: 3億円以上~10億円未満,https://miraii.jp/sdgs-activities-8,https://18e91ddb.form.kintoneapp.com/public/contact-miraii-hp,,,,,送信成功,2026/07/16,,
株式会社お金のデザイン,クラウド系/SaaS/ASPサービス,"その他金融関連サービス,証券",東京都,東京都中央区新川１丁目１７番２１号,3: 20人以上~50人未満,,3: 10億円以上~50億円未満,https://www.money-design.com/about/company/,http://www.money-design.com/contact/,,,,,送信成功,2026/07/16,,
株式会社ｉＭｅｄｉｃａｌ,Webアプリ・サービス運営,,東京都,東京都千代田区九段南２丁目３番１４号靖国九段南ビル８階,3: 20人以上~50人未満,2: 3億円以上~10億円未満,2: 3億円以上~10億円未満,https://www.imedi.co.jp/company.html,https://www.imedi.co.jp/contact.html,03-5786-6800,,,,送信成功,2026/07/16,,
株式会社レトリバ,Webアプリ・サービス運営,,東京都,東京都豊島区西池袋１丁目１１番１号,3: 20人以上~50人未満,"1: 5,000万円以上~3億円未満",2: 3億円以上~10億円未満,https://retrieva.jp/profile/,https://retrieva.jp/contact/,,,,,送信不可,,必須項目の入力ができない（情報不足など）,
株式会社ＳＩＲＥ,Webアプリ・サービス運営,"Webアプリ・サービス運営,不動産コンサル,不動産管理,不動産賃貸・仲介",東京都,東京都目黒区下目黒３丁目４－２タムラビル５階,3: 20人以上~50人未満,,3: 10億円以上~50億円未満,https://r-sire.co.jp/,,,,,,送信不可,,メールに遷移・Googleフォーム,out lookだから
株式会社バーナードソフト,Webアプリ・サービス運営,受託開発,北海道,北海道札幌市中央区北五条西６丁目２番地２,3: 20人以上~50人未満,"0: 5,000万円未満",1: 1億円以上~3億円未満,https://www.barnardsoft.co.jp/about/#profile,https://www.barnardsoft.co.jp/contact,011-776-6738,,,,送信成功,2026/07/16,,
株式会社グラモ,Webアプリ・サービス運営,,東京都,東京都豊島区東池袋３丁目２３番１３号,3: 20人以上~50人未満,2: 3億円以上~10億円未満,2: 3億円以上~10億円未満,https://www.glamo.co.jp/,http://www.glamo.co.jp/#about,03-5928-2630,info@glamo.co.jp,,,送信成功,2026/07/16,,
株式会社スイッチメディア,Webアプリ・サービス運営,"その他マスコミ・出版,その他IT,研究・調査・リサーチ",東京都,東京都港区芝５丁目２６番２４号,3: 20人以上~50人未満,"1: 5,000万円以上~3億円未満",2: 3億円以上~10億円未満,https://www.switch-m.com/corporate/company,https://switch-m.satori.site/service-inquiry?_gl=1*lk61ro*_gcl_au*NTU3MTkzMjI1LjE3ODQxNjY0MjU.*_ga*MTczODMwMDk5OS4xNzg0MTY2NDI2*_ga_JEVZ4XJ77E*czE3ODQxNjY0MjUkbzEkZzAkdDE3ODQxNjY0MzIkajUzJGwwJGg3OTMyMzY2Nzc.,03-6441-2056,,,,送信成功,2026/07/16,,
ニューラルグループ株式会社,Webアプリ・サービス運営,"ITコンサル,情報セキュリティ,その他機械",東京都,東京都千代田区有楽町１丁目１番２号,3: 20人以上~50人未満,"0: 5,000万円未満",3: 10億円以上~50億円未満,https://www.neural-group.com/company.html,https://www.neural-group.com/ir/inquiry/index.html?type=other,,,,,送信成功,2026/07/16,,
スーパーマイクロ株式会社,Webアプリ・サービス運営,クラウド系/SaaS/ASPサービス,東京都,東京都渋谷区桜丘町２０番１号渋谷インフォスタワー２１階,3: 20人以上~50人未満,"0: 5,000万円未満",2: 3億円以上~10億円未満,https://www.supermicro.com.tw/index_home.cfm,https://www.supermicro.com.tw/en/about/contact,03-5728-5196,japanservice@supermicro.com,,,送信不可,, お問い合わせフォーム無し,
株式会社レイ・イージス・ジャパン,情報セキュリティ,,東京都,東京都新宿区西新宿７丁目２２番３３号Ｐｏｌａｒ西新宿４階,3: 20人以上~50人未満,"1: 5,000万円以上~3億円未満",2: 3億円以上~10億円未満,https://www.rayaegis.co.jp/company/,https://form.k3r.jp/rayaegis/corpcontact,03-6703-6619,info@rayaegis.co.jp,,,送信成功,2026/07/16,,
